1999/2/30,The Shawshank Redemption (1994),The Godfather (1972),Star Wars (1977),Schindler's List (1993),Saving Private Ryan (1998),Casablanca (1942),Citizen Kane (1941),One Flew Over the Cuckoo's Nest (1975),The Usual Suspects (1995),Raiders of the Lost Ark (1981),
1999/3/1,The Shawshank Redemption (1994),The Godfather (1972),Star Wars (1977),Schindler's List (1993),Casablanca (1942),One Flew Over the Cuckoo's Nest (1975),Saving Private Ryan (1998),Citizen Kane (1941),The Usual Suspects (1995),The Godfather: Part II (1974),
1999/4/12,The Shawshank Redemption (1994),The Godfather (1972),Star Wars (1977),Schindler's List (1993),Casablanca (1942),One Flew Over the Cuckoo's Nest (1975),Citizen Kane (1941),Saving Private Ryan (1998),La Vita è bella (1997),The Godfather: Part II (1974),
1999/5/12,The Shawshank Redemption (1994),The Godfather (1972),Star Wars (1977),Schindler's List (1993),Casablanca (1942),One Flew Over the Cuckoo's Nest (1975),Citizen Kane (1941),Saving Private Ryan (1998),La Vita è bella (1997),The Godfather: Part II (1974),
1999/6/12,The Shawshank Redemption (1994),The Godfather (1972),Star Wars (1977),Schindler's List (1993),Casablanca (1942),One Flew Over the Cuckoo's Nest (1975),Citizen Kane (1941),Saving Private Ryan (1998),La Vita è bella (1997),The Godfather: Part II (1974),
1999/7/12,The Shawshank Redemption (1994),The Godfather (1972),Star Wars (1977),Schindler's List (1993),Casablanca (1942),One Flew Over the Cuckoo's Nest (1975),Citizen Kane (1941),Saving Private Ryan (1998),La Vita è bella (1997),The Godfather: Part II (1974),
1999/8/1,The Shawshank Redemption (1994),The Godfather (1972),Star Wars (1977),Schindler's List (1993),Casablanca (1942),Citizen Kane (1941),One Flew Over the Cuckoo's Nest (1975),The Godfather: Part II (1974),La Vita è bella (1997),Star Wars: Episode V - The Empire Strikes Back (1980),
1999/9/9,The Godfather (1972),Schindler's List (1993),Star Wars (1977),The Shawshank Redemption (1994),Casablanca (1942),Citizen Kane (1941),Saving Private Ryan (1998),One Flew Over the Cuckoo's Nest (1975),The Godfather: Part II (1974),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),
1999/10/10,The Godfather (1972),Schindler's List (1993),The Shawshank Redemption (1994),Star Wars (1977),Casablanca (1942),Citizen Kane (1941),American Beauty (1999),Saving Private Ryan (1998),The Godfather: Part II (1974),One Flew Over the Cuckoo's Nest (1975),
1999/11/16,The Godfather (1972),American Beauty (1999),Schindler's List (1993),The Shawshank Redemption (1994),Casablanca (1942),Citizen Kane (1941),Star Wars (1977),The Godfather: Part II (1974),One Flew Over the Cuckoo's Nest (1975),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),
