1998/9/20,The Godfather (1972),Schindler's List (1993),The Shawshank Redemption (1994),Star Wars (1977),Casablanca (1942),Citizen Kane (1941),One Flew Over the Cuckoo's Nest (1975),The Usual Suspects (1995),Raiders of the Lost Ark (1981),The Godfather: Part II (1974),Rear Window (1954),Star Wars: Episode V - The Empire Strikes Back (1980),L.A. Confidential (1997),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),North by Northwest (1959),The Silence of the Lambs (1991),Psycho (1960),Pulp Fiction (1994),To Kill a Mockingbird (1962),Taxi Driver (1976),
1998/10/5,The Godfather (1972),Schindler's List (1993),The Shawshank Redemption (1994),Saving Private Ryan (1998),Star Wars (1977),Casablanca (1942),Citizen Kane (1941),One Flew Over the Cuckoo's Nest (1975),The Usual Suspects (1995),Raiders of the Lost Ark (1981),The Godfather: Part II (1974),Rear Window (1954),Star Wars: Episode V - The Empire Strikes Back (1980),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),L.A. Confidential (1997),North by Northwest (1959),The Silence of the Lambs (1991),Psycho (1960),Taxi Driver (1976),Pulp Fiction (1994),
1998/11/5,The Godfather (1972),Schindler's List (1993),The Shawshank Redemption (1994),Saving Private Ryan (1998),Star Wars (1977),Casablanca (1942),Citizen Kane (1941),One Flew Over the Cuckoo's Nest (1975),The Usual Suspects (1995),Raiders of the Lost Ark (1981),The Godfather: Part II (1974),Rear Window (1954),Star Wars: Episode V - The Empire Strikes Back (1980),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),L.A. Confidential (1997),North by Northwest (1959),The Silence of the Lambs (1991),Psycho (1960),Taxi Driver (1976),Pulp Fiction (1994),
1998/12/30,The Shawshank Redemption (1994),The Godfather (1972),Star Wars (1977),Schindler's List (1993),Saving Private Ryan (1998),Casablanca (1942),Citizen Kane (1941),One Flew Over the Cuckoo's Nest (1975),The Usual Suspects (1995),Raiders of the Lost Ark (1981),Star Wars: Episode V - The Empire Strikes Back (1980),Rear Window (1954),The Godfather: Part II (1974),Psycho (1960),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),North by Northwest (1959),The Silence of the Lambs (1991),L.A. Confidential (1997),To Kill a Mockingbird (1962),12 Angry Men (1957),
1999/3/1,The Shawshank Redemption (1994),The Godfather (1972),Star Wars (1977),Schindler's List (1993),Casablanca (1942),One Flew Over the Cuckoo's Nest (1975),Saving Private Ryan (1998),Citizen Kane (1941),The Usual Suspects (1995),The Godfather: Part II (1974),Rear Window (1954),Raiders of the Lost Ark (1981),Star Wars: Episode V - The Empire Strikes Back (1980),Psycho (1960),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),Shakespeare in Love (1998),North by Northwest (1959),The Silence of the Lambs (1991),L.A. Confidential (1997),12 Angry Men (1957),
1999/2/1,The Shawshank Redemption (1994),The Godfather (1972),Star Wars (1977),Schindler's List (1993),Casablanca (1942),One Flew Over the Cuckoo's Nest (1975),Saving Private Ryan (1998),Citizen Kane (1941),The Usual Suspects (1995),The Godfather: Part II (1974),Rear Window (1954),Raiders of the Lost Ark (1981),Star Wars: Episode V - The Empire Strikes Back (1980),Psycho (1960),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),Shakespeare in Love (1998),North by Northwest (1959),The Silence of the Lambs (1991),L.A. Confidential (1997),12 Angry Men (1957),
1999/3/1,The Shawshank Redemption (1994),The Godfather (1972),Star Wars (1977),Schindler's List (1993),Casablanca (1942),One Flew Over the Cuckoo's Nest (1975),Saving Private Ryan (1998),Citizen Kane (1941),The Usual Suspects (1995),The Godfather: Part II (1974),Rear Window (1954),Raiders of the Lost Ark (1981),Star Wars: Episode V - The Empire Strikes Back (1980),Psycho (1960),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),Shakespeare in Love (1998),North by Northwest (1959),The Silence of the Lambs (1991),L.A. Confidential (1997),12 Angry Men (1957),
1999/4/12,The Shawshank Redemption (1994),The Godfather (1972),Star Wars (1977),Schindler's List (1993),Casablanca (1942),One Flew Over the Cuckoo's Nest (1975),Citizen Kane (1941),Saving Private Ryan (1998),La Vita è bella (1997),The Godfather: Part II (1974),The Usual Suspects (1995),Rear Window (1954),Star Wars: Episode V - The Empire Strikes Back (1980),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),Raiders of the Lost Ark (1981),Psycho (1960),North by Northwest (1959),The Silence of the Lambs (1991),12 Angry Men (1957),The Matrix (1999),
1999/5/12,The Shawshank Redemption (1994),The Godfather (1972),Star Wars (1977),Schindler's List (1993),Casablanca (1942),One Flew Over the Cuckoo's Nest (1975),Citizen Kane (1941),Saving Private Ryan (1998),La Vita è bella (1997),The Godfather: Part II (1974),The Usual Suspects (1995),Rear Window (1954),Star Wars: Episode V - The Empire Strikes Back (1980),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),Raiders of the Lost Ark (1981),Psycho (1960),North by Northwest (1959),The Silence of the Lambs (1991),12 Angry Men (1957),The Matrix (1999),
1999/6/12,The Shawshank Redemption (1994),The Godfather (1972),Star Wars (1977),Schindler's List (1993),Casablanca (1942),One Flew Over the Cuckoo's Nest (1975),Citizen Kane (1941),Saving Private Ryan (1998),La Vita è bella (1997),The Godfather: Part II (1974),The Usual Suspects (1995),Rear Window (1954),Star Wars: Episode V - The Empire Strikes Back (1980),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),Raiders of the Lost Ark (1981),Psycho (1960),North by Northwest (1959),The Silence of the Lambs (1991),12 Angry Men (1957),The Matrix (1999),
1999/7/12,The Shawshank Redemption (1994),The Godfather (1972),Star Wars (1977),Schindler's List (1993),Casablanca (1942),One Flew Over the Cuckoo's Nest (1975),Citizen Kane (1941),Saving Private Ryan (1998),La Vita è bella (1997),The Godfather: Part II (1974),The Usual Suspects (1995),Rear Window (1954),Star Wars: Episode V - The Empire Strikes Back (1980),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),Raiders of the Lost Ark (1981),Psycho (1960),North by Northwest (1959),The Silence of the Lambs (1991),12 Angry Men (1957),The Matrix (1999),
1999/8/1,The Shawshank Redemption (1994),The Godfather (1972),Star Wars (1977),Schindler's List (1993),Casablanca (1942),Citizen Kane (1941),One Flew Over the Cuckoo's Nest (1975),The Godfather: Part II (1974),La Vita è bella (1997),Star Wars: Episode V - The Empire Strikes Back (1980),The Usual Suspects (1995),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),Saving Private Ryan (1998),Rear Window (1954),Raiders of the Lost Ark (1981),Psycho (1960),North by Northwest (1959),12 Angry Men (1957),The Silence of the Lambs (1991),The Matrix (1999),
